time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,0.2499,0.2436,0.2456,73997929.45,18188932.82,0.2499,direct,
2023-01-02,0.2562,0.2465,0.2499,71036708.31,17965066.16,0.2537,direct,
2023-01-03,0.2553,0.2502,0.2537,58864446.33,14883175.67,0.2527,direct,
2023-01-04,0.2703,0.2519,0.2527,118940055.88,31425751.5,0.268,direct,
2023-01-05,0.2711,0.2633,0.268,53078439.09,14169819.22,0.2692,direct,
2023-01-06,0.2798,0.2672,0.2692,118071111.53,32207501.42,0.2786,direct,
2023-01-07,0.2805,0.2724,0.2786,53695960.15,14825958.49,0.2768,direct,
2023-01-08,0.2984,0.2746,0.2768,136022594.55,39003610.5,0.2973,direct,
2023-01-09,0.3453,0.2959,0.2973,298375424.7,95818898.5,0.3167,direct,
2023-01-10,0.325,0.3068,0.3167,150534034.42,47798744.15,0.3223,direct,
2023-01-11,0.3234,0.3076,0.3223,104844129.13,33060738.94,0.3231,direct,
2023-01-12,0.3346,0.3163,0.3231,162317904.85,52975610.58,0.3295,direct,
2023-01-13,0.3507,0.3237,0.3295,117128324.96,39171277.22,0.3458,direct,
2023-01-14,0.3698,0.3346,0.3458,195396021.14,69054967.16,0.3526,direct,
2023-01-15,0.354,0.3388,0.3526,89078144.57,30911746.67,0.3507,direct,
2023-01-16,0.3639,0.3384,0.3507,108831093.74,38301290.84,0.3504,direct,
2023-01-17,0.3574,0.3433,0.3504,67447752.15,23656415.69,0.3455,direct,
2023-01-18,0.3554,0.3244,0.3455,139180231.63,47245773.56,0.3266,direct,
2023-01-19,0.3432,0.3259,0.3266,59732734.31,19948604.1,0.3381,direct,
2023-01-20,0.3656,0.3337,0.3381,101955267.65,35603181.18,0.3652,direct,
2023-01-21,0.3807,0.3576,0.3652,140108861.51,51642731.41,0.3687,direct,
2023-01-22,0.3869,0.3633,0.3687,122713044.67,46358151.81,0.3765,direct,
2023-01-23,0.3836,0.3688,0.3765,98463180.74,36993605.85,0.375,direct,
2023-01-24,0.3829,0.3554,0.375,78856117.71,29439993.07,0.3589,direct,
2023-01-25,0.3797,0.3475,0.3589,91627636.3,32924974.46,0.3733,direct,
2023-01-26,0.3888,0.3713,0.3733,108048954.29,40985150.49,0.3798,direct,
2023-01-27,0.3909,0.368,0.3798,81843243.93,31107191.65,0.3899,direct,
2023-01-28,0.3982,0.3778,0.3899,89696189.69,34788660.98,0.382,direct,
2023-01-29,0.3991,0.377,0.382,79181109.57,30928426.74,0.3975,direct,
2023-01-30,0.3982,0.366,0.3975,101647327.76,38725680.56,0.3727,direct,
2023-01-31,0.3999,0.3685,0.3727,95754277.95,36745057.59,0.3902,direct,
2023-02-01,0.4017,0.3715,0.3902,107159073.67,41318188.7,0.3968,direct,
2023-02-02,0.4137,0.3927,0.3968,128226624.3,51783663.78,0.3981,direct,
2023-02-03,0.4072,0.3946,0.3981,81180629.71,32611323.16,0.4037,direct,
2023-02-04,0.4055,0.3976,0.4037,46780119.29,18807004.43,0.3993,direct,
2023-02-05,0.402,0.3822,0.3993,70761292.68,27746792.54,0.3925,direct,
2023-02-06,0.4035,0.3796,0.3925,75038223.2,29374641.38,0.3822,direct,
2023-02-07,0.3998,0.3815,0.3822,71686103.03,27912554.83,0.3992,direct,
2023-02-08,0.4038,0.3856,0.3992,67849381.27,26895224.13,0.3944,direct,
2023-02-09,0.3957,0.3544,0.3944,126196556.18,47500686.35,0.3622,direct,
2023-02-10,0.3656,0.354,0.3622,92292335.22,33289200.43,0.3584,direct,
2023-02-11,0.3703,0.357,0.3584,58047639.77,20990580.87,0.3686,direct,
2023-02-12,0.3738,0.3597,0.3686,57149998.94,21051793.31,0.3641,direct,
2023-02-13,0.3657,0.3454,0.3641,93390219.66,33114474.1,0.3596,direct,
2023-02-14,0.3934,0.3548,0.3596,127118789.85,47685803.49,0.3868,direct,
2023-02-15,0.4205,0.3821,0.3868,121291112.09,48264363.45,0.4198,direct,
2023-02-16,0.4218,0.3864,0.4198,119064768.45,48226285.33,0.3872,direct,
2023-02-17,0.4098,0.3858,0.3872,73520966.42,29345685.1,0.4037,direct,
2023-02-18,0.4181,0.3979,0.4037,50804750.03,20607652.77,0.4061,direct,
2023-02-19,0.4125,0.3973,0.4061,68693547.91,27806564.9,0.3998,direct,
2023-02-20,0.4096,0.3895,0.3998,72585364.54,29307971.73,0.4036,direct,
2023-02-21,0.4059,0.3855,0.4036,82964895.8,32820586.17,0.3925,direct,
2023-02-22,0.3929,0.377,0.3925,98357348.52,37770434.32,0.3889,direct,
2023-02-23,0.3949,0.3796,0.3889,59272039.63,22934069.44,0.3823,direct,
2023-02-24,0.3854,0.3586,0.3823,91324857.07,33993565.49,0.3657,direct,
2023-02-25,0.3676,0.3519,0.3657,62732191.25,22621021.24,0.362,direct,
2023-02-26,0.3702,0.3578,0.362,48978778.0,17794746.39,0.3691,direct,
2023-02-27,0.3702,0.3577,0.3691,50368141.45,18337839.32,0.3646,direct,
2023-02-28,0.368,0.3488,0.3646,47431320.43,17005686.23,0.3518,direct,
2023-03-01,0.3643,0.3494,0.3518,65222845.1,23437234.1,0.3602,direct,
2023-03-02,0.3613,0.3446,0.3602,63416325.12,22274300.54,0.3505,direct,
2023-03-03,0.3508,0.3227,0.3505,115499874.08,38740590.05,0.3431,direct,
2023-03-04,0.3447,0.3308,0.3431,24988526.08,8458531.9,0.3367,direct,
2023-03-05,0.3429,0.3348,0.3367,32434367.09,10975490.36,0.3369,direct,
2023-03-06,0.3386,0.3294,0.3369,61102592.61,20344699.76,0.3306,direct,
2023-03-07,0.3348,0.3211,0.3306,73359342.04,24121221.46,0.3305,direct,
2023-03-08,0.3326,0.3138,0.3305,78313623.4,25276198.18,0.3175,direct,
2023-03-09,0.322,0.3031,0.3175,131598612.63,41018233.95,0.3104,direct,
2023-03-10,0.3188,0.2978,0.3104,150803442.31,46443287.23,0.3159,direct,
2023-03-11,0.3266,0.3034,0.3159,115348620.0,36158674.76,0.3072,direct,
2023-03-12,0.3329,0.3037,0.3072,92116454.16,29048634.05,0.3322,direct,
2023-03-13,0.353,0.3282,0.3322,140458585.49,47976692.93,0.3449,direct,
2023-03-14,0.3691,0.3378,0.3449,165352295.5,58565850.9,0.3444,direct,
2023-03-15,0.3483,0.3168,0.3444,125944516.16,41873885.08,0.3254,direct,
2023-03-16,0.3298,0.3186,0.3254,92482676.08,30040158.88,0.3254,direct,
2023-03-17,0.351,0.322,0.3254,95794599.52,32353603.3,0.3502,direct,
2023-03-18,0.357,0.3363,0.3502,71531016.36,24871139.46,0.3379,direct,
2023-03-19,0.3534,0.3376,0.3379,52273969.12,18121755.34,0.3456,direct,
2023-03-20,0.3469,0.3316,0.3456,68063065.98,23154516.01,0.3333,direct,
2023-03-21,0.3865,0.3306,0.3333,119156795.13,42712325.5,0.3708,direct,
2023-03-22,0.3879,0.3502,0.3708,153197206.26,56856154.2,0.3604,direct,
2023-03-23,0.3858,0.3544,0.3604,82323210.35,30567608.32,0.3723,direct,
2023-03-24,0.3732,0.3558,0.3723,69424554.0,25175109.39,0.3601,direct,
2023-03-25,0.3632,0.3493,0.3601,29344377.38,10452996.32,0.3518,direct,
2023-03-26,0.3615,0.349,0.3518,34853268.91,12387167.33,0.3562,direct,
2023-03-27,0.3574,0.3373,0.3562,53511032.9,18564404.35,0.3458,direct,
2023-03-28,0.3701,0.3392,0.3458,50009172.86,17804295.17,0.3683,direct,
2023-03-29,0.3898,0.3668,0.3683,95631775.58,36559354.93,0.3812,direct,
2023-03-30,0.3882,0.3698,0.3812,69130593.15,26096427.24,0.3762,direct,
2023-03-31,0.4087,0.3743,0.3762,98293710.04,38922180.97,0.3987,direct,
2023-04-01,0.4024,0.3887,0.3987,41798125.71,16463568.75,0.3921,direct,
2023-04-02,0.393,0.3764,0.3921,39520179.58,15152948.47,0.3818,direct,
2023-04-03,0.4048,0.3716,0.3818,102724224.44,39984266.9,0.387,direct,
2023-04-04,0.3999,0.3847,0.387,59304239.63,23268953.17,0.3897,direct,
2023-04-05,0.4001,0.3871,0.3897,44533396.04,17541459.77,0.3922,direct,
2023-04-06,0.3922,0.3767,0.3922,46784553.93,17950959.41,0.383,direct,
2023-04-07,0.3846,0.376,0.383,31332100.67,11928395.58,0.3825,direct,
2023-04-08,0.3902,0.3799,0.3825,27681882.94,10705916.6,0.3855,direct,
2023-04-09,0.3931,0.3846,0.3855,28302682.15,11001191.94,0.3896,direct,
2023-04-10,0.3979,0.385,0.3896,44917854.4,17548250.37,0.3971,direct,
2023-04-11,0.4129,0.396,0.3971,86572795.49,34982233.2,0.4018,direct,
2023-04-12,0.4069,0.389,0.4018,71841575.48,28695935.46,0.405,direct,
2023-04-13,0.4291,0.4005,0.405,99675046.18,41387126.82,0.4256,direct,
2023-04-14,0.4444,0.4237,0.4256,143796692.96,62597540.74,0.4385,direct,
2023-04-15,0.4614,0.4315,0.4385,110869025.4,49986775.47,0.4528,direct,
2023-04-16,0.4579,0.4427,0.4528,59123315.15,26608531.72,0.4516,direct,
2023-04-17,0.4519,0.4319,0.4516,81706508.6,35963335.22,0.4345,direct,
2023-04-18,0.4481,0.4283,0.4345,69422646.03,30605621.8,0.4436,direct,
2023-04-19,0.4436,0.4082,0.4436,134697112.7,56865839.15,0.4165,direct,
2023-04-20,0.4222,0.3959,0.4165,91584324.29,37517766.36,0.4006,direct,
2023-04-21,0.407,0.3792,0.4006,97576492.53,38353551.12,0.3825,direct,
2023-04-22,0.399,0.3812,0.3825,36077493.07,14144984.74,0.3959,direct,
2023-04-23,0.3959,0.3804,0.3959,29402906.51,11421184.02,0.3889,direct,
2023-04-24,0.3973,0.3798,0.3889,30834784.08,11945605.05,0.3838,direct,
2023-04-25,0.3953,0.3768,0.3838,42269822.84,16225701.59,0.3948,direct,
2023-04-26,0.417,0.3788,0.3948,85180836.93,34088998.93,0.4015,direct,
2023-04-27,0.4182,0.4011,0.4015,55768410.22,22883092.33,0.4101,direct,
2023-04-28,0.411,0.3974,0.4101,32675461.93,13213522.76,0.4048,direct,
2023-04-29,0.4079,0.4004,0.4048,17457509.1,7052086.84,0.4026,direct,
2023-04-30,0.4151,0.3954,0.4026,30398295.84,12265957.27,0.3959,direct,
2023-05-01,0.3981,0.3807,0.3959,46585997.5,18056939.7,0.3869,direct,
2023-05-02,0.395,0.3821,0.3869,34618344.98,13455984.48,0.392,direct,
2023-05-03,0.3965,0.3787,0.392,47041818.16,18157074.76,0.3942,direct,
2023-05-04,0.3964,0.3852,0.3942,25507875.27,9965268.75,0.3876,direct,
2023-05-05,0.3973,0.3835,0.3876,36432232.62,14269009.73,0.3946,direct,
2023-05-06,0.3971,0.3749,0.3946,38033615.04,14596155.56,0.38,direct,
2023-05-07,0.3839,0.3753,0.38,25899527.51,9856882.09,0.3772,direct,
2023-05-08,0.3808,0.3551,0.3772,64828870.62,23850133.91,0.3662,direct,
2023-05-09,0.3711,0.3607,0.3662,34774511.92,12680862.62,0.3637,direct,
2023-05-10,0.3734,0.3548,0.3637,79540952.57,29152146.21,0.3697,direct,
2023-05-11,0.3701,0.3499,0.3697,56105910.66,20082372.25,0.3602,direct,
2023-05-12,0.371,0.3538,0.3602,55880334.45,20224889.06,0.3706,direct,
2023-05-13,0.3711,0.3627,0.3706,20372786.48,7457069.18,0.3648,direct,
2023-05-14,0.3731,0.363,0.3648,21241653.96,7826636.86,0.371,direct,
2023-05-15,0.3758,0.3661,0.371,32703359.83,12133233.76,0.367,direct,
2023-05-16,0.3706,0.3617,0.367,42552345.61,15602837.37,0.3683,direct,
2023-05-17,0.3805,0.3647,0.3683,58394554.78,21723073.3,0.3756,direct,
2023-05-18,0.3802,0.3658,0.3756,48297552.37,18069083.25,0.3713,direct,
2023-05-19,0.3729,0.3662,0.3713,24297623.4,8975975.97,0.3683,direct,
2023-05-20,0.3684,0.3637,0.3683,18534090.09,6772474.17,0.3665,direct,
2023-05-21,0.3676,0.3576,0.3665,20905610.4,7567804.74,0.3604,direct,
2023-05-22,0.3739,0.3567,0.3604,34320353.16,12591143.83,0.3678,direct,
2023-05-23,0.3754,0.366,0.3678,29138655.72,10795210.36,0.3703,direct,
