time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,246.51,243.17,246.01,19000.69,4646282.85,244.18,direct,
2023-01-02,247.64,240.58,244.18,23207.61,5687101.88,245.16,direct,
2023-01-03,246.05,244.38,245.22,35851.02,8815223.03,245.88,multiply,BTC
2023-01-04,260.58,245.68,246.09,58379.87,14901540.75,258.79,direct,
2023-01-05,259.0,255.17,258.79,21348.82,5490383.15,256.29,direct,
2023-01-06,260.39,254.49,256.29,30825.96,7936032.39,259.82,direct,
2023-01-07,263.49,259.31,259.82,16177.04,4226131.17,261.19,direct,
2023-01-08,275.88,260.28,261.19,33328.0,8887976.35,274.85,direct,
2023-01-09,283.19,271.38,274.85,59806.9,16609937.78,272.49,direct,
2023-01-10,278.58,270.53,272.49,36352.32,10004243.59,277.1,direct,
2023-01-11,286.26,274.21,277.1,35137.27,9787013.96,284.59,direct,
2023-01-12,288.53,279.11,284.59,52724.86,15007423.32,287.79,direct,
2023-01-13,295.31,284.99,287.79,37560.04,10862743.69,293.57,direct,
2023-01-14,313.98,293.22,293.57,89445.64,27347749.75,304.88,direct,
2023-01-15,305.85,292.05,304.88,36156.3,10821968.51,302.03,direct,
2023-01-16,307.6,293.34,302.03,44109.75,13256265.0,298.87,direct,
2023-01-17,305.32,295.65,298.87,35446.89,10661620.1,299.29,direct,
2023-01-18,304.69,281.7,299.29,77879.77,22881971.29,286.83,direct,
2023-01-19,295.13,286.28,286.83,26884.57,7810235.37,294.65,direct,
2023-01-20,305.08,286.69,294.65,65380.46,19214300.4,305.02,direct,
2023-01-21,309.54,298.92,305.02,65295.46,19837298.58,299.04,direct,
2023-01-22,311.04,298.72,299.04,50828.76,15425266.16,302.76,direct,
2023-01-23,307.59,301.36,302.76,38610.33,11771741.74,305.24,direct,
2023-01-24,323.02,299.7,305.24,74697.97,23367254.11,300.46,direct,
2023-01-25,313.43,293.96,300.46,54165.61,16372811.31,307.0,direct,
2023-01-26,309.43,302.02,307.0,45776.12,14011021.01,304.86,direct,
2023-01-27,310.25,299.45,304.86,36760.19,11204360.11,308.14,direct,
2023-01-28,313.08,303.99,308.14,26726.08,8217901.2,306.19,direct,
2023-01-29,320.37,305.03,306.19,47900.89,15059197.94,317.16,direct,
2023-01-30,320.69,303.05,317.16,51188.69,15831440.41,307.04,direct,
2023-01-31,314.1,305.52,307.04,34950.14,10878004.74,312.11,direct,
2023-02-01,319.39,305.92,312.11,49145.88,15345536.91,317.16,direct,
2023-02-02,334.07,316.63,317.16,70860.11,23188016.78,323.61,direct,
2023-02-03,335.01,318.86,323.61,68507.89,22514820.11,332.24,direct,
2023-02-04,333.78,327.35,332.24,24968.01,8250286.49,330.55,direct,
2023-02-05,337.71,324.47,330.55,50508.13,16652363.29,327.76,direct,
2023-02-06,330.71,321.47,327.76,32617.57,10662267.55,324.45,direct,
2023-02-07,333.6,323.76,324.45,34371.43,11315436.12,332.98,direct,
2023-02-08,335.4,323.79,332.98,34784.58,11457006.24,328.15,direct,
2023-02-09,329.05,302.36,328.15,66655.84,21113034.72,306.17,direct,
2023-02-10,309.09,302.77,306.17,36043.4,11047120.23,305.76,direct,
2023-02-11,311.17,304.95,305.76,18381.43,5665947.58,310.4,direct,
2023-02-12,320.49,306.44,310.4,34264.65,10755928.12,312.92,direct,
2023-02-13,315.26,246.3,312.92,141178.58,41729146.84,294.28,direct,
2023-02-14,301.42,290.27,294.28,61355.11,18091299.74,296.23,direct,
2023-02-15,317.53,294.25,296.23,57692.23,17589829.26,317.37,direct,
2023-02-16,327.2,304.33,317.37,103962.47,33139258.43,304.7,direct,
2023-02-17,316.75,303.37,304.7,65783.51,20399957.37,313.33,direct,
2023-02-18,318.71,313.29,313.33,31051.5,9811415.45,316.48,direct,
2023-02-19,318.54,310.65,316.48,38434.95,12109702.5,311.88,direct,
2023-02-20,319.34,308.76,311.88,56822.68,17951525.36,315.25,direct,
2023-02-21,316.95,309.67,315.25,46939.07,14708236.89,311.62,direct,
2023-02-22,312.66,303.7,311.62,44914.09,13806823.03,312.34,direct,
2023-02-23,314.85,306.21,312.34,33214.99,10295117.58,308.38,direct,
2023-02-24,311.8,299.11,308.38,40174.64,12281100.45,302.24,direct,
2023-02-25,303.35,298.88,302.32,37629.15,11384723.15,302.55,multiply,ETH
2023-02-26,312.46,308.03,302.55,34604.23,10687413.76,308.85,multiply,ETH
