time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,0.0708,0.06901,0.07013,342837755.84,23885541.86,0.0702,direct,
2023-01-02,0.07368,0.06902,0.0702,499329618.6,35709997.74,0.07135,direct,
2023-01-03,0.07228,0.06946,0.07135,367285594.8,26031794.71,0.07045,direct,
2023-01-04,0.07353,0.07017,0.07045,492764163.84,35520434.99,0.07312,direct,
2023-01-05,0.07527,0.07056,0.07312,570706430.37,41689056.06,0.07148,direct,
2023-01-06,0.07274,0.06961,0.07148,414792106.32,29543617.71,0.07243,direct,
2023-01-07,0.07299,0.07167,0.07243,158352576.19,11443607.91,0.07217,direct,
2023-01-08,0.07393,0.07124,0.07217,299800949.76,21678727.8,0.07358,direct,
2023-01-09,0.07956,0.07296,0.07358,1022957427.94,78383821.44,0.07562,direct,
2023-01-10,0.07788,0.07389,0.07562,615279266.36,46975606.61,0.0778,direct,
2023-01-11,0.07855,0.07474,0.0778,472880242.31,36269939.49,0.07813,direct,
2023-01-12,0.08125,0.07542,0.07813,845497041.77,66723562.4,0.08028,direct,
2023-01-13,0.08521,0.07865,0.08028,626010012.42,50793148.18,0.08452,direct,
2023-01-14,0.09254,0.08346,0.08452,1197883803.64,104687276.49,0.0873,direct,
2023-01-15,0.08794,0.08283,0.0873,540632457.74,45980071.54,0.0861,direct,
2023-01-16,0.08827,0.08151,0.0861,597367080.8,50778484.99,0.08366,direct,
2023-01-17,0.08502,0.08202,0.08366,337912496.55,28264267.16,0.08285,direct,
2023-01-18,0.08965,0.07756,0.08285,1004144895.42,84781021.28,0.08004,direct,
2023-01-19,0.08216,0.07976,0.08004,371477008.69,30066348.25,0.08159,direct,
2023-01-20,0.08701,0.08061,0.08159,513605634.06,42749132.31,0.08621,direct,
2023-01-21,0.08908,0.08427,0.08621,689015644.13,59763935.75,0.08463,direct,
2023-01-22,0.09336,0.08441,0.08463,831443270.96,73510675.01,0.08823,direct,
2023-01-23,0.09147,0.08637,0.08823,693785522.57,61707441.95,0.08848,direct,
2023-01-24,0.09079,0.08237,0.08848,587908760.46,51563623.23,0.08389,direct,
2023-01-25,0.08815,0.08176,0.08389,589026699.92,49863625.78,0.08653,direct,
2023-01-26,0.08771,0.08464,0.08653,396818234.72,34222036.2,0.08637,direct,
2023-01-27,0.08801,0.08367,0.08637,449287275.42,38603375.23,0.08723,direct,
2023-01-28,0.09356,0.08685,0.08723,520902145.56,46604765.07,0.08777,direct,
2023-01-29,0.09099,0.08733,0.08777,412204472.98,36931039.5,0.09012,direct,
2023-01-30,0.09311,0.08486,0.09012,709338459.84,62260239.38,0.08837,direct,
2023-01-31,0.09779,0.08827,0.08837,1422537345.61,132923020.83,0.09614,direct,
2023-02-01,0.09709,0.08826,0.09614,996202143.13,91726833.86,0.094,direct,
2023-02-02,0.09595,0.09015,0.094,678228077.23,63398825.93,0.09093,direct,
2023-02-03,0.09333,0.09035,0.09093,419871171.32,38590182.49,0.09292,direct,
