time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,0.05498,0.05442,0.05449,13654186.59,746931.86,0.0548,direct,
2023-01-02,0.05549,0.05444,0.0548,19367053.55,1065863.85,0.05515,direct,
2023-01-03,0.05553,0.0547,0.05515,19276666.15,1065389.17,0.05479,direct,
2023-01-04,0.05566,0.05438,0.05479,42858012.66,2357705.11,0.05477,direct,
2023-01-05,0.05494,0.05338,0.05477,32089770.0,1739751.34,0.05371,direct,
2023-01-06,0.05391,0.04984,0.05371,144798164.08,7430324.71,0.05248,direct,
2023-01-07,0.05292,0.0514,0.05248,31803331.76,1652631.7,0.05202,direct,
2023-01-08,0.05431,0.05127,0.05202,33404499.3,1755730.27,0.05429,direct,
2023-01-09,0.0565,0.0537,0.05429,56674929.78,3126566.18,0.05463,direct,
2023-01-10,0.05497,0.05389,0.05463,40461001.24,2202132.69,0.05484,direct,
2023-01-11,0.05663,0.05456,0.05484,56428496.98,3115275.59,0.05649,direct,
2023-01-12,0.05739,0.05573,0.05649,57481667.09,3246042.29,0.05711,direct,
2023-01-13,0.06068,0.05682,0.05711,63544657.35,3688516.15,0.06008,direct,
2023-01-14,0.06574,0.05995,0.06008,86669276.01,5466366.31,0.06178,direct,
2023-01-15,0.06287,0.06063,0.06178,56396603.58,3487524.02,0.0623,direct,
2023-01-16,0.06327,0.06126,0.0623,65457786.95,4086302.8,0.06238,direct,
2023-01-17,0.06262,0.06132,0.06238,44285059.9,2748555.6,0.06166,direct,
2023-01-18,0.06243,0.05887,0.06166,66803112.76,4077990.67,0.05888,direct,
2023-01-19,0.06036,0.05876,0.05888,38253726.91,2277131.92,0.06007,direct,
2023-01-20,0.06298,0.05988,0.06007,42929548.0,2620368.22,0.06267,direct,
2023-01-21,0.06366,0.06161,0.06267,47823157.82,2986447.94,0.06167,direct,
2023-01-22,0.06275,0.06063,0.06167,42111126.31,2601429.85,0.06163,direct,
2023-01-23,0.06328,0.06118,0.06163,42292244.74,2627058.42,0.06273,direct,
2023-01-24,0.06361,0.05973,0.06273,45354866.56,2819548.5,0.06016,direct,
2023-01-25,0.06285,0.05917,0.06016,43639580.81,2649976.55,0.0617,direct,
2023-01-26,0.0622,0.06112,0.0617,38081386.33,2348538.05,0.06168,direct,
2023-01-27,0.06439,0.0609,0.06168,61081011.74,3831957.54,0.06359,direct,
2023-01-28,0.064,0.06199,0.06359,42067671.3,2645442.53,0.06307,direct,
2023-01-29,0.06466,0.06289,0.06307,42392983.73,2694427.46,0.06371,direct,
2023-01-30,0.06406,0.06139,0.06371,52592249.59,3290824.91,0.06226,direct,
2023-01-31,0.06313,0.06171,0.06226,48299874.17,3009519.4,0.06221,direct,
2023-02-01,0.06339,0.06143,0.06221,49682820.49,3093781.56,0.06312,direct,
2023-02-02,0.06538,0.06308,0.06312,48615272.76,3111838.53,0.06376,direct,
2023-02-03,0.06476,0.06347,0.06376,43005808.37,2756768.02,0.06415,direct,
2023-02-04,0.06448,0.06301,0.06415,35368569.41,2261669.02,0.06381,direct,
2023-02-05,0.06573,0.06317,0.06381,47464974.86,3055222.25,0.06411,direct,
2023-02-06,0.06453,0.06268,0.06411,46070313.87,2926194.65,0.06314,direct,
2023-02-07,0.06593,0.06305,0.06314,57287541.64,3699796.76,0.06574,direct,
2023-02-08,0.07068,0.06551,0.06574,75100689.81,5014972.27,0.06693,direct,
2023-02-09,0.06708,0.06193,0.06693,58859833.48,3806554.29,0.06263,direct,
2023-02-10,0.06392,0.06238,0.06263,42602047.65,2693895.04,0.06331,direct,
2023-02-11,0.06409,0.06313,0.06331,24704745.79,1571103.28,0.06374,direct,
