time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,1.001,0.9938,1.0,20256.16,20265.33,1.0,invert_divide,BTC
2023-01-02,1.0,0.9999,1.0,12784246.74,12783959.51,0.9999,direct,
2023-01-03,1.0,0.9999,0.9999,26820958.38,26819540.25,1.0,direct,
2023-01-04,1.007,0.9882,1.0,58841.99,58830.89,0.9998,invert_divide,BTC
2023-01-05,1.0,0.9999,1.0,23631743.6,23631782.97,0.9999,direct,
2023-01-06,1.0,0.9999,0.9999,23972998.96,23972391.81,1.0,direct,
2023-01-07,1.002,0.9979,1.0,11628.45,11630.23,1.0,invert_divide,BTC
2023-01-08,1.0,0.9999,0.9999,9868344.34,9867845.82,1.0,direct,
2023-01-09,1.0,0.9999,1.0,28242842.1,28241468.03,1.0,direct,
2023-01-10,1.0,0.9999,1.0,22746129.22,22745101.96,1.0,direct,
2023-01-11,1.0,0.9998,1.0,37831289.55,37828777.48,1.0,direct,
2023-01-12,1.0,0.9998,1.0,39537130.27,39537193.76,1.0,direct,
2023-01-13,1.004,0.9397,0.9996,94611.39,94673.57,1.001,invert_divide,BTC
2023-01-14,1.014,0.9491,1.001,107073.42,107035.37,0.9996,invert_divide,BTC
2023-01-15,1.008,0.9854,0.9996,44461.09,44455.96,0.9999,invert_divide,BTC
2023-01-16,1.012,0.9742,0.9999,66430.52,66449.3,1.0,invert_divide,BTC
2023-01-17,1.0,0.9996,1.0,21588511.51,21586116.06,1.0,direct,
2023-01-18,1.046,0.9873,1.0,82422.66,82438.05,1.0,invert_divide,BTC
2023-01-19,1.007,0.9729,0.9999,489405.87,489159.9,0.9995,invert_divide,ETH
2023-01-20,1.002,0.9204,0.9999,82923.31,82874.45,0.9994,invert_divide,BTC
2023-01-21,1.024,0.9863,0.9994,96424.84,96471.45,1.0,invert_divide,BTC
2023-01-22,1.015,0.9834,1.0,62351.77,62337.8,0.9998,invert_divide,BTC
2023-01-23,1.01,0.9855,0.9998,70990.57,70990.85,1.0,invert_divide,BTC
2023-01-24,1.023,0.9933,1.0,78065.25,78070.11,1.0,invert_divide,BTC
2023-01-25,1.017,0.9429,1.0,724158.23,724009.92,0.9998,invert_divide,ETH
2023-01-26,1.019,0.9862,0.9998,491078.21,491013.82,0.9999,invert_divide,ETH
2023-01-27,1.018,0.979,0.9998,65135.66,65135.12,1.0,invert_divide,BTC
2023-01-28,1.021,0.9906,1.0,275543.16,275375.04,0.9994,invert_divide,ETH
2023-01-29,1.008,0.9525,0.9994,502089.89,502169.24,1.0,invert_divide,ETH
2023-01-30,1.051,0.9828,1.0,577546.2,577531.45,1.0,invert_divide,ETH
2023-01-31,1.006,0.9823,1.0,49746.31,49737.47,0.9998,invert_divide,BTC
2023-02-01,1.003,0.9605,0.9998,50174.15,50173.47,1.0,invert_divide,BTC
2023-02-02,1.043,0.9931,1.0,585655.08,585951.13,1.001,invert_divide,ETH
2023-02-03,1.007,0.9787,1.001,426503.46,426475.27,0.9999,invert_divide,ETH
2023-02-04,1.017,0.9879,0.9999,247213.27,247277.06,1.0,invert_divide,ETH
2023-02-05,1.027,0.989,1.0,277758.07,277764.89,1.0,invert_divide,ETH
2023-02-06,1.001,0.9988,1.0,21627688.55,21627538.48,1.0,direct,
2023-02-07,1.0,0.9987,1.0,27815189.76,27814013.37,0.9999,direct,
2023-02-08,1.0,0.9998,0.9999,30547075.68,30544967.77,1.0,direct,
2023-02-09,1.055,0.9975,0.9999,72685.0,72725.85,1.001,invert_divide,BTC
2023-02-10,1.0,0.9967,1.0,24604061.26,24602977.97,1.0,direct,
2023-02-11,1.0,0.9953,1.0,11402332.08,11400477.78,0.9999,direct,
2023-02-12,1.014,0.9941,0.9999,27490.57,27494.24,1.0,invert_divide,BTC
2023-02-13,1.001,0.9986,1.0,62192131.17,62189351.98,1.0,direct,
2023-02-14,1.001,0.993,1.0,43272693.77,43265788.17,0.9999,direct,
2023-02-15,1.0,0.9065,1.0,70450.63,70443.02,0.9999,invert_divide,BTC
2023-02-16,1.072,0.9991,0.9999,89399.75,89363.45,0.9996,invert_divide,BTC
2023-02-17,1.018,0.9509,0.9996,83842.0,83849.06,1.0,invert_divide,BTC
2023-02-18,1.009,0.9927,1.0,22334.7,22337.6,1.0,invert_divide,BTC
2023-02-19,1.037,0.9989,1.0,43529.32,43544.51,1.0,invert_divide,BTC
2023-02-20,1.011,0.9612,1.0,54396.11,54401.37,1.0,invert_divide,BTC
2023-02-21,1.031,0.9883,1.0,68937.6,68928.55,0.9999,invert_divide,BTC
2023-02-22,1.002,0.9998,0.9999,31014324.27,31012214.49,0.9999,direct,
2023-02-23,1.027,0.9869,1.0,67725.34,67718.49,0.9999,invert_divide,BTC
2023-02-24,1.04,0.9845,0.9999,68652.11,68649.74,1.0,invert_divide,BTC
2023-02-25,1.003,0.9849,1.0,24727.95,24737.24,1.0,invert_divide,BTC
2023-02-26,1.005,0.9792,1.0,27073.82,27072.84,1.0,invert_divide,BTC
2023-02-27,1.017,0.9852,1.0,45081.05,45076.52,0.9999,invert_divide,BTC
2023-02-28,1.001,0.9998,0.9999,29123293.13,29121314.4,1.0,direct,
2023-03-01,1.015,0.9746,1.0,45323.52,45336.39,1.0,invert_divide,BTC
2023-03-02,1.001,0.9974,1.0,24803747.35,24802324.43,1.0,direct,
2023-03-03,1.001,0.9998,1.0,79034921.31,79068287.8,1.0,direct,
2023-03-04,1.0,0.9998,1.0,16723418.32,16722934.07,1.0,direct,
2023-03-05,1.009,0.9917,1.0,20875.88,20880.99,1.0,invert_divide,BTC
2023-03-06,1.0,0.9998,1.0,22345402.45,22348450.46,1.0,direct,
2023-03-07,1.001,0.9993,1.0,58419852.86,58426702.33,1.0,direct,
2023-03-08,1.0,0.9999,1.0,42412473.62,42420754.09,1.0,direct,
2023-03-09,1.0,0.9999,1.0,47262712.62,47265404.08,1.0,direct,
2023-03-10,1.001,0.9912,1.0,122539471.31,122356895.41,0.9983,direct,
2023-03-11,0.999,0.8774,0.9983,564735413.93,533685982.19,0.9679,direct,
2023-03-12,0.9947,0.9457,0.9679,320220405.38,312176039.03,0.9912,direct,
2023-03-13,0.9996,0.9829,0.9912,256843580.49,255815669.79,0.9988,direct,
2023-03-14,0.9998,0.9979,0.9988,229192661.39,229007426.37,0.9995,direct,
2023-03-15,1.0,0.9962,0.9995,229944060.05,229884874.35,0.9996,direct,
2023-03-16,1.0,0.9973,0.9996,76999378.85,76967831.62,0.9999,direct,
2023-03-17,1.001,0.9994,0.9999,108552473.04,108526045.66,0.9999,direct,
2023-03-18,1.029,0.988,0.9997,48843.14,48834.7,0.9998,invert_divide,BTC
2023-03-19,1.0,0.9993,0.9996,43960434.97,43952310.19,0.9997,direct,
2023-03-20,1.0,0.9966,0.9997,123164961.77,123108428.8,0.998,direct,
2023-03-21,0.9997,0.9951,0.998,59646667.96,59546598.38,0.9985,direct,
2023-03-22,0.9999,0.997,0.9985,51168601.53,51121337.47,0.999,direct,
2023-03-23,0.9999,0.9981,0.999,44986747.17,44950990.71,0.9992,direct,
2023-03-24,0.9999,0.999,0.9992,27575765.25,27563532.41,0.9998,direct,
2023-03-25,1.0,0.9997,0.9998,12800385.7,12799431.42,0.9998,direct,
2023-03-26,1.008,0.9802,0.9998,26394.91,26388.0,0.9997,invert_divide,BTC
2023-03-27,0.9999,0.9988,0.9998,30875430.69,30862289.76,0.9997,direct,
2023-03-28,1.002,0.9995,0.9997,57296110.21,57298407.16,0.9998,direct,
2023-03-29,1.001,0.9996,0.9998,53346052.19,53342588.2,0.9999,direct,
2023-03-30,1.0,0.9997,0.9999,32692820.36,32690393.69,1.0,direct,
2023-03-31,1.0,0.9987,1.0,38357530.77,38350758.62,0.9998,direct,
2023-04-01,1.0,0.9997,0.9998,10287365.89,10286481.68,0.9999,direct,
2023-04-02,1.0,0.9994,0.9999,6955958.04,6953549.12,0.9997,direct,
2023-04-03,1.0,0.9984,0.9997,41488479.39,41480517.27,0.9999,direct,
2023-04-04,1.001,0.9996,0.9999,25222627.88,25219835.79,0.9998,direct,
2023-04-05,1.0,0.9993,0.9998,21505545.3,21500885.28,0.9997,direct,
2023-04-06,1.0,0.9991,0.9997,22210898.57,22203801.5,0.9997,direct,
2023-04-07,1.0,0.9989,0.9997,12448145.44,12443499.62,0.9998,direct,
2023-04-08,1.008,0.9974,0.9987,9261.95,9262.61,1.0,invert_divide,BTC
2023-04-09,1.0,0.9994,0.9998,8319309.34,8317224.33,0.9997,direct,
2023-04-10,1.0,0.9996,0.9997,25239920.65,25233494.55,0.9997,direct,
2023-04-11,0.9999,0.9995,0.9997,40676538.46,40666493.58,0.9998,direct,
2023-04-12,0.9999,0.9992,0.9998,38121265.68,38112137.74,0.9997,direct,
2023-04-13,1.0,0.9967,0.9997,31208341.54,31193133.87,0.9999,direct,
2023-04-14,1.0,0.9992,0.9999,24215156.09,24209586.82,0.9998,direct,
2023-04-15,1.009,0.9916,1.0,188889.63,188878.8,0.9999,invert_divide,ETH
2023-04-16,1.01,0.9786,0.9999,208671.81,208638.35,0.9998,invert_divide,ETH
2023-04-17,1.001,0.9994,0.9998,23358070.27,23355080.64,1.0,direct,
2023-04-18,1.0,0.9997,1.0,26093370.29,26091121.44,0.9998,direct,
2023-04-19,1.001,0.9997,0.9998,28869141.36,28869314.73,1.0,direct,
2023-04-20,1.003,0.9998,1.0,29125553.52,29128042.11,1.0,direct,
2023-04-21,1.001,1.0,1.0,38421965.36,38431511.75,1.0,direct,
2023-04-22,1.003,0.9762,1.0,17443.02,17448.28,1.0,invert_divide,BTC
2023-04-23,1.001,0.9998,1.0,8636462.52,8636262.43,0.9998,direct,
2023-04-24,1.0,0.9998,0.9998,18108171.18,18107562.44,0.9999,direct,
2023-04-25,1.003,0.961,1.0,31694.19,31698.29,1.0,invert_divide,BTC
2023-04-26,1.056,0.959,1.0,79154.04,79169.49,1.0,invert_divide,BTC
2023-04-27,1.014,0.9633,1.0,63333.86,63343.57,1.0,invert_divide,BTC
2023-04-28,1.009,0.986,1.0,35166.03,35177.12,1.0,invert_divide,BTC
2023-04-29,1.007,0.9943,1.0,11330.73,11332.81,1.0,invert_divide,BTC
2023-04-30,1.024,0.9953,1.0,23251.07,23238.82,0.9995,invert_divide,BTC
2023-05-01,1.045,0.9855,0.9995,43941.31,43941.04,1.0,invert_divide,BTC
2023-05-02,1.008,0.973,1.0,32659.37,32685.01,1.001,invert_divide,BTC
2023-05-03,1.008,0.9697,1.001,40257.03,40270.91,1.0,invert_divide,BTC
2023-05-04,1.018,0.9948,1.0,27573.93,27587.33,1.0,invert_divide,BTC
2023-05-05,1.006,0.9772,1.0,35426.26,35452.98,1.001,invert_divide,BTC
