time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01,1.0,0.9931,0.9993,20256.16,20252.33,0.9998,invert_divide,BTC
2023-01-02,1.006,0.9922,0.9998,30159.75,30153.65,0.9998,invert_divide,BTC
2023-01-03,1.006,0.9958,0.9998,37684.59,37674.17,0.9997,invert_divide,BTC
2023-01-04,1.007,0.9881,0.9997,58841.99,58827.57,0.9998,invert_divide,BTC
2023-01-05,1.002,0.9961,0.9998,31174.48,31166.26,0.9997,invert_divide,BTC
2023-01-06,1.004,0.9845,0.9997,52488.7,52474.58,0.9997,invert_divide,BTC
2023-01-07,1.005,0.9978,0.9996,183266.85,183255.25,0.9999,invert_divide,ETH
2023-01-08,1.002,0.9756,0.9999,308927.99,308587.94,0.9989,invert_divide,ETH
2023-01-09,1.012,0.9955,0.9993,73779.59,73774.31,0.9999,invert_divide,BTC
2023-01-10,1.003,0.9833,0.9999,57628.21,57636.44,1.0,invert_divide,BTC
2023-01-11,1.003,0.966,1.0,63571.7,63581.34,1.0,invert_divide,BTC
2023-01-12,1.013,0.9502,1.0,122644.76,122668.97,1.0,invert_divide,BTC
2023-01-13,1.003,0.9395,1.0,94611.39,94650.76,1.0,invert_divide,BTC
2023-01-14,1.015,0.9498,1.0,107073.42,107111.04,1.0,invert_divide,BTC
2023-01-15,1.008,0.9855,1.0,44461.09,44462.69,1.0,invert_divide,BTC
2023-01-16,1.012,0.974,1.0,66430.52,66438.7,1.0,invert_divide,BTC
2023-01-17,1.02,0.9873,1.0,55706.36,55709.1,1.0,invert_divide,BTC
2023-01-18,1.046,0.9871,1.0,82422.66,82421.03,1.0,invert_divide,BTC
2023-01-19,1.005,0.9809,1.0,54649.2,54675.68,1.0,invert_divide,BTC
2023-01-20,1.003,0.9214,1.0,82923.31,82958.72,1.0,invert_divide,BTC
2023-01-21,1.024,0.9861,1.0,96424.84,96453.2,1.0,invert_divide,BTC
2023-01-22,1.016,0.9839,1.0,62351.77,62368.44,1.0,invert_divide,BTC
2023-01-23,1.01,0.9856,1.0,70990.57,70992.52,1.0,invert_divide,BTC
2023-01-24,1.023,0.9936,1.0,78065.25,78092.47,1.0,invert_divide,BTC
2023-01-25,1.032,0.9696,1.0,88106.3,88145.74,1.0,invert_divide,BTC
2023-01-26,1.011,0.994,1.0,64065.53,64067.79,1.0,invert_divide,BTC
2023-01-27,1.018,0.9792,1.0,65135.66,65145.96,1.0,invert_divide,BTC
2023-01-28,1.007,0.9945,1.0,20229.78,20237.65,1.0,invert_divide,BTC
2023-01-29,1.009,0.9678,1.0,57693.1,57697.55,1.0,invert_divide,BTC
2023-01-30,1.042,0.9888,1.0,73408.97,73413.7,1.0,invert_divide,BTC
2023-01-31,1.006,0.9826,1.0,49746.31,49752.76,1.0,invert_divide,BTC
2023-02-01,1.003,0.961,1.0,50174.15,50202.73,1.001,invert_divide,BTC
2023-02-02,1.033,0.9988,1.001,57852.6,57901.96,1.001,invert_divide,BTC
2023-02-03,1.012,0.9915,1.001,40956.08,40966.9,1.0,invert_divide,BTC
2023-02-04,1.017,0.9878,1.0,247213.27,247263.71,1.0,invert_divide,ETH
2023-02-05,1.022,0.9942,1.0,27262.45,27275.53,1.0,invert_divide,BTC
2023-02-06,1.017,0.9954,1.0,40112.72,40115.1,1.0,invert_divide,BTC
2023-02-07,1.004,0.9784,1.0,37031.49,37028.86,0.9999,invert_divide,BTC
2023-02-08,1.019,0.9881,0.9999,32423.41,32421.38,0.9999,invert_divide,BTC
2023-02-09,1.055,0.9976,0.9999,72685.0,72731.93,1.001,invert_divide,BTC
2023-02-10,1.014,0.9939,1.001,52389.7,52409.2,1.0,invert_divide,BTC
2023-02-11,1.002,0.9885,1.0,17100.45,17100.7,1.0,invert_divide,BTC
2023-02-12,1.014,0.9943,1.0,27490.57,27499.4,1.0,invert_divide,BTC
2023-02-13,1.003,1.0,1.0,673051364.91,673491357.8,1.001,direct,
2023-02-14,1.005,0.9723,1.001,51049.58,51064.55,1.0,invert_divide,BTC
2023-02-15,1.0,0.9068,1.0,70450.63,70461.43,1.0,invert_divide,BTC
2023-02-16,1.073,1.0,1.0,89399.75,89440.76,1.0,invert_divide,BTC
2023-02-17,1.018,0.951,1.0,83842.0,83856.74,1.0,invert_divide,BTC
2023-02-18,1.009,0.9928,1.0,22334.7,22340.39,1.0,invert_divide,BTC
2023-02-19,1.037,0.9989,1.0,43529.32,43543.7,1.0,invert_divide,BTC
2023-02-20,1.01,0.961,1.0,54396.11,54385.69,0.9998,invert_divide,BTC
2023-02-21,1.032,0.9888,0.9998,68937.6,68957.2,1.0,invert_divide,BTC
2023-02-22,1.012,0.9758,1.0,71228.71,71241.26,1.0,invert_divide,BTC
2023-02-23,1.027,0.9871,1.0,67725.34,67733.04,1.0,invert_divide,BTC
2023-02-24,1.04,0.9847,1.0,68652.11,68661.29,1.0,invert_divide,BTC
2023-02-25,1.003,0.985,1.0,24727.95,24740.67,1.001,invert_divide,BTC
2023-02-26,1.005,0.9793,1.001,27073.82,27075.79,1.0,invert_divide,BTC
2023-02-27,1.017,0.9854,1.0,45081.05,45084.49,1.0,invert_divide,BTC
2023-02-28,1.02,0.9956,1.0,34862.93,34857.25,0.9998,invert_divide,BTC
2023-03-01,1.015,0.9748,0.9998,45323.52,45343.43,1.0,invert_divide,BTC
2023-03-02,1.014,0.9891,1.0,34727.29,34730.15,1.0,invert_divide,BTC
2023-03-03,1.05,0.9902,1.0,59283.75,59300.14,1.0,invert_divide,BTC
2023-03-04,1.003,0.9924,1.0,11840.22,11843.68,1.0,invert_divide,BTC
2023-03-05,1.009,0.9916,1.0,20875.88,20878.96,1.0,invert_divide,BTC
2023-03-06,1.0,0.9998,1.0,375229398.06,375216658.19,0.9999,direct,
2023-03-07,1.0,0.9997,0.9999,502047033.31,502012805.84,1.0,direct,
2023-03-08,1.026,0.9964,1.0,41232.56,41231.86,1.0,invert_divide,BTC
2023-03-09,1.072,0.9878,1.0,75232.11,75264.81,1.0,invert_divide,BTC
2023-03-10,1.011,0.9726,1.0,105350.02,105637.13,1.003,invert_divide,BTC
2023-03-11,1.036,1.002,1.003,769008078.63,774514859.89,1.008,direct,
2023-03-12,1.01,0.9295,1.008,63957.66,64502.03,1.009,invert_divide,BTC
2023-03-13,1.02,0.9081,1.009,94501.71,94870.34,1.004,invert_divide,BTC
2023-03-14,1.075,0.9757,1.004,110643.58,111026.97,1.003,invert_divide,BTC
2023-03-15,1.041,0.9861,1.003,74114.24,74385.94,1.004,invert_divide,BTC
2023-03-16,1.009,0.9689,1.004,55408.3,55521.65,1.002,invert_divide,BTC
2023-03-17,1.014,0.9107,1.002,96426.82,96602.24,1.002,invert_divide,BTC
2023-03-18,1.031,0.9907,1.002,48843.14,48964.24,1.002,invert_divide,BTC
2023-03-19,1.017,0.9618,1.002,48163.58,48284.46,1.003,invert_divide,BTC
2023-03-20,1.03,0.9824,1.003,65834.79,66048.4,1.003,invert_divide,BTC
2023-03-21,1.014,0.9754,1.003,45696.4,45827.89,1.003,invert_divide,BTC
2023-03-22,1.061,0.9789,1.003,81267.64,81463.42,1.002,invert_divide,BTC
2023-03-23,1.018,0.961,1.002,63194.55,63308.39,1.002,invert_divide,BTC
