time,coin,open,high,low,close,volumefrom,volumeto
2023-01-01,sol,9.952,10.08,9.7,9.99,3717429.17,36647102.13
2023-01-02,sol,9.99,11.97,9.791,11.28,6930407.48,76282642.73
2023-01-03,sol,11.28,13.8,11.01,13.39,10274568.45,129021571.79
2023-01-04,sol,13.39,14.22,12.82,13.44,10543054.16,142824278.08
2023-01-05,sol,13.44,13.86,12.95,13.43,4946914.33,65885387.04
2023-01-06,sol,13.43,13.59,12.69,13.5,5090840.98,67070233.93
2023-01-07,sol,13.5,13.5,13.01,13.1,1903347.69,25215262.79
2023-01-08,sol,13.1,14.87,12.85,14.45,5128425.36,69849810.79
2023-01-09,sol,14.45,17.52,14.29,16.26,16507038.83,267958729.7
2023-01-10,sol,16.26,16.73,15.57,16.21,7263067.41,117343825.18
2023-01-11,sol,16.21,16.6,15.29,16.37,5770927.92,91957286.78
2023-01-12,sol,16.37,16.97,15.59,16.6,7520429.1,122893887.95
2023-01-13,sol,16.6,18.6,16.32,18.29,7751192.4,133083479.97
2023-01-14,sol,18.29,24.72,18.21,24.24,19047944.18,426149505.62
2023-01-15,sol,24.24,24.91,21.99,22.88,9730791.48,225168855.76
2023-01-16,sol,22.88,25.0,22.27,23.58,8315802.17,195373635.91
2023-01-17,sol,23.58,23.95,22.72,22.89,5233561.56,122316881.28
2023-01-18,sol,22.89,23.62,20.34,20.81,9877415.06,218474162.96
2023-01-19,sol,20.81,21.86,20.43,21.4,4845438.93,102839432.43
2023-01-20,sol,21.4,25.81,20.93,25.54,7144165.43,164469564.96
2023-01-21,sol,25.54,26.46,24.38,24.57,7960756.56,201065652.02
2023-01-22,sol,24.57,25.43,23.52,24.22,5113072.36,126726909.34
2023-01-23,sol,24.22,24.93,23.76,24.35,4270924.46,104226920.63
2023-01-24,sol,24.35,25.21,22.41,22.77,3774704.92,91078716.14
2023-01-25,sol,22.77,25.41,22.24,24.51,5284710.97,125431229.78
2023-01-26,sol,24.51,25.22,23.79,24.35,3024929.42,74283958.87
2023-01-27,sol,24.35,24.95,23.36,24.44,3618766.16,87038058.69
2023-01-28,sol,24.44,25.19,23.74,24.01,1813018.67,44093898.41
2023-01-29,sol,24.01,26.76,23.73,26.08,4025288.24,102498251.74
2023-01-30,sol,26.08,26.32,23.29,23.97,4465263.73,109362775.54
2023-01-31,sol,23.97,24.46,23.49,23.93,2511422.16,60266493.82
2023-02-01,sol,23.93,25.2,22.51,25.0,4564231.8,108523663.73
2023-02-02,sol,25.0,26.14,24.12,24.32,4348122.0,109357957.57
2023-02-03,sol,24.32,25.22,24.05,24.68,2855668.52,70127686.77
2023-02-04,sol,24.68,24.94,24.2,24.36,935122.41,23004871.92
2023-02-05,sol,24.36,24.47,23.05,23.49,1790002.54,42459812.18
2023-02-06,sol,23.49,23.73,22.51,22.69,1538910.85,35635388.03
2023-02-07,sol,22.69,23.96,22.55,23.84,2381944.06,55393189.81
2023-02-08,sol,23.84,24.2,22.81,23.22,1778403.82,41744087.1
2023-02-09,sol,23.22,23.34,20.01,20.47,3179112.6,69661953.13
2023-02-10,sol,20.47,21.21,19.71,20.13,2528073.07,52209262.99
2023-02-11,sol,20.13,20.92,20.11,20.82,1019733.58,20802522.2
2023-02-12,sol,20.82,22.43,20.63,21.51,1900438.7,40873349.6
2023-02-13,sol,21.51,21.6,19.76,20.78,2763693.25,56902152.93
2023-02-14,sol,20.78,22.38,20.69,21.85,3127307.48,67451898.71
2023-02-15,sol,21.85,23.98,21.46,23.87,2839483.85,64533089.37
2023-02-16,sol,23.87,24.15,22.21,22.26,3444216.87,80695240.37
2023-02-17,sol,22.26,23.56,22.04,23.17,2109039.54,48246530.17
2023-02-18,sol,23.17,23.92,22.93,23.47,1228432.23,28826528.41
2023-02-19,sol,23.47,25.63,23.22,24.85,3095573.15,75989614.31
2023-02-20,sol,24.85,27.11,24.13,26.26,4632944.61,120845651.18
2023-02-21,sol,26.26,26.61,24.5,24.98,3199162.9,81340386.05
2023-02-22,sol,24.98,25.23,23.22,24.17,3502880.85,83511817.6
2023-02-23,sol,24.17,24.7,23.61,23.92,2043966.7,49267607.38
2023-02-24,sol,23.92,24.14,22.49,23.08,2139995.26,49847752.08
2023-02-25,sol,23.07,23.33,21.46,22.4,1497905.13,33529910.0
2023-02-26,sol,22.4,23.53,22.24,23.28,1304479.62,29942794.53
2023-02-27,sol,23.28,23.41,22.33,22.67,1973417.58,45184748.78
2023-02-28,sol,22.67,22.77,21.8,21.88,1713390.02,38176238.55
2023-03-01,sol,21.88,22.89,21.7,22.51,1434134.22,32153652.95
2023-03-02,sol,22.51,22.66,21.69,21.99,1416151.15,31155232.7
2023-03-03,sol,21.99,22.01,20.4,21.42,2171732.67,45763308.65
2023-03-04,sol,21.42,21.61,20.3,20.99,764652.14,16101235.47
2023-03-05,sol,20.99,21.67,20.84,20.97,1581049.91,33561929.58
2023-03-06,sol,20.97,21.16,20.48,20.62,1826091.23,37992113.26
2023-03-07,sol,20.62,20.95,19.73,20.24,2629195.67,53461794.67
2023-03-08,sol,20.24,20.38,18.14,18.42,4279252.34,81522052.95
2023-03-09,sol,18.42,18.75,16.73,17.35,5920710.97,105502413.57
2023-03-10,sol,17.35,18.41,16.02,18.24,7733108.26,133416568.37
2023-03-11,sol,18.24,19.12,17.05,18.21,3772210.37,67762821.86
2023-03-12,sol,18.21,20.63,17.88,20.32,4075182.7,77122006.66
2023-03-13,sol,20.32,21.47,18.9,20.47,7637676.58,154278866.04
2023-03-14,sol,20.47,22.19,19.85,20.93,6614947.51,139806672.07
2023-03-15,sol,20.93,21.55,18.77,19.32,5266573.96,105480852.93
2023-03-16,sol,19.32,19.95,18.97,19.72,3042224.88,59302142.14
2023-03-17,sol,19.72,21.71,19.47,21.65,4509074.52,91865214.82
2023-03-18,sol,21.65,22.92,21.12,21.26,4461864.14,98823416.73
2023-03-19,sol,21.26,22.49,21.25,21.91,2423668.46,53174993.02
2023-03-20,sol,21.91,23.97,21.45,22.2,6932667.31,158131836.5
2023-03-21,sol,22.2,23.37,21.61,22.61,4607824.98,103902403.79
2023-03-22,sol,22.61,23.12,21.01,21.46,5038675.7,111854504.66
2023-03-23,sol,21.46,22.77,21.16,22.21,3432875.38,75357481.27
2023-03-24,sol,22.21,22.3,20.29,20.68,3855459.85,81959121.54
2023-03-25,sol,20.68,20.98,20.13,20.44,1062418.1,21914613.98
2023-03-26,sol,20.44,21.16,20.32,20.96,869407.51,18161955.85
